recognizer_age_numeric,producer_age_numeric,ci_lower,ci_upper,mean
3,4,0.25226450892857144,0.3398147321428571,0.29556051587301585
3,5,0.3087413467589679,0.4008991504090623,0.35437382001258655
3,6,0.3805360817166373,0.4812340779933373,0.4325935724083872
3,7,0.35906902673350044,0.45166392543859646,0.4059314954051796
3,8,0.3988203352769679,0.4969887026239067,0.4485179786200194
4,4,0.32775702606992163,0.40038115958408677,0.3635510849909584
4,5,0.3807552083333334,0.4595311614229025,0.422484410430839
4,6,0.38731547619047624,0.46303287545787547,0.424992673992674
4,7,0.41533883477633476,0.4931195887445887,0.45475108225108224
4,8,0.4732823129251701,0.5500348107993197,0.512092545351474
5,4,0.32801204004329,0.3990422077922078,0.364650974025974
5,5,0.3595269901853872,0.4397662213740458,0.39918665939658304
5,6,0.4716269841269841,0.5526454248366012,0.514453781512605
5,7,0.4821661386328725,0.5636292722734255,0.5250240015360983
5,8,0.5246810400516797,0.6035371677740863,0.5628922111480251
6,4,0.33634176587301584,0.426750408496732,0.37823879551820727
6,5,0.48199215102707754,0.5769677871148459,0.531109943977591
6,6,0.48619908750302154,0.5837515107565869,0.5331883007009911
6,7,0.5519018005212035,0.6472472459132906,0.6002191423833215
6,8,0.5302526785714287,0.6259977678571429,0.5784642857142858
7,4,0.41219173881673876,0.5085220057720058,0.46056277056277056
7,5,0.5323961962833914,0.6283365998838559,0.580045005807201
7,6,0.5437565159199775,0.6394989785855171,0.5929416737109044
7,7,0.5804185152321798,0.6861357586512866,0.6348269742679681
7,8,0.6223321078431373,0.7185588235294117,0.6713865546218487
8,4,0.38054129464285713,0.5000015943877552,0.44074192176870747
8,5,0.4842411964785915,0.6020120548219288,0.5446478591436574
8,6,0.5675979010025062,0.6839719089390142,0.6282059314954052
8,7,0.5680116459627329,0.684174430641822,0.627888198757764
8,8,0.6220455798059965,0.7411890983245151,0.6834435626102293
9,4,0.38828554661301146,0.5255495472837023,0.4564553990610329
9,5,0.45391547619047623,0.6081130952380953,0.5275714285714286
9,6,0.42632801226551226,0.5978553391053392,0.5132395382395383
9,7,0.5151064090019569,0.6626944716242661,0.5873613829093282
9,8,0.6189148652882205,0.7508215852130325,0.6864974937343359
10,4,0.4213484432234433,0.5472229853479853,0.4855540293040293
10,5,0.4745600292003594,0.6074255952380951,0.5412061994609164
10,6,0.502650756564308,0.6342323097463285,0.5699933244325768
10,7,0.600889172335601,0.7219092970521541,0.6642403628117913
10,8,0.6028816526610644,0.7273934990662931,0.6676120448179271
