category,age,prop_correct
airplane,4,0.32894736842105265
airplane,5,0.5771929824561404
airplane,6,0.6909090909090909
airplane,7,0.7828877005347593
airplane,8,0.8403559403559404
airplane,9,0.9731481481481481
bike,4,0.47000000000000003
bike,5,0.6114832535885167
bike,6,0.8313333333333334
bike,7,0.8549663299663299
bike,8,0.7823691460055097
bike,9,0.9245098039215687
bird,4,0.3727994227994228
bird,5,0.6194444444444445
bird,6,0.6783585858585859
bird,7,0.806140350877193
bird,8,0.9021969696969697
bird,9,0.9110047846889953
car,4,0.3196969696969697
car,5,0.7331168831168832
car,6,0.870855614973262
car,7,0.851936026936027
car,8,0.8926262626262627
car,9,0.9329124579124579
cat,4,0.2798638559508125
cat,5,0.5230303030303031
cat,6,0.806060606060606
cat,7,0.7990358126721763
cat,8,0.8085638998682477
cat,9,0.9241735537190082
chair,4,0.5578053259871442
chair,5,0.6214962121212121
chair,6,0.746524064171123
chair,7,0.8630681818181818
chair,8,0.964935064935065
chair,9,0.9548611111111112
cup,4,0.4418560606060606
cup,5,0.5301515151515152
cup,6,0.7904306220095694
cup,7,0.8603386809269162
cup,8,0.8476190476190476
cup,9,0.8529411764705882
hat,4,0.45984848484848484
hat,5,0.5353535353535354
hat,6,0.7241702741702741
hat,7,0.7676767676767677
hat,8,0.6944903581267218
hat,9,0.7490530303030303
house,4,0.475
house,5,0.9413636363636364
house,6,0.9441558441558442
house,7,0.9790513833992095
house,8,0.9912023460410557
house,9,0.9924242424242424
rabbit,4,0.30768398268398267
rabbit,5,0.391643709825528
rabbit,6,0.660935441370224
rabbit,7,0.6640495867768595
rabbit,8,0.6287037037037037
rabbit,9,0.646969696969697
tree,4,0.6076960076960077
tree,5,0.8034205693296602
tree,6,0.8631313131313131
tree,7,0.9696969696969697
tree,8,0.9509199134199134
tree,9,0.9654545454545455
watch,4,0.4566142191142191
watch,5,0.7091666666666667
watch,6,0.8141148325358851
watch,7,0.805050505050505
watch,8,0.8907308377896613
watch,9,0.8475
